Question Text,Generated Query,Ground Truth Query,BLEU Score,Exact Match
who developed google videos?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Google> <http://dbpedia.org/ontology/product> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Google_Videos> <http://dbpedia.org/property/developer> ?uri },0.513345048,0
Name the alma mater of Ernest de Saisset ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Saumarez_(horse)> <http://dbpedia.org/ontology/owner> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ernest_de_Saisset> <http://dbpedia.org/ontology/almaMater> ?uri },0.513345048,0
Which team won the American Football League?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Josh_Lyman> <http://dbpedia.org/ontology/portrayer> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/American_Football_League> <http://dbpedia.org/property/champion> ?uri },0.513345048,0
What is Jon Speelman famous for?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Daniel_Spielman> <http://dbpedia.org/ontology/knownFor> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jon_Speelman> <http://dbpedia.org/ontology/field> ?uri },0.513345048,0
Where did the 2015 MLS All-Star Game take place?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Nakuru_AllStars> <http://xmlns.com/foaf/0.1/name> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/2015_MLS_All-Star_Game> <http://dbpedia.org/property/city> ?uri },0.513345048,0
What is the name of the homeground of football team Panionios G.S.S.?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Faros_Keratsiniou_B.C.> <http://xmlns.com/foaf/0.1/name> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/2013�14_Panionios_G.S.S._season> <http://dbpedia.org/ontology/ground> ?uri },0.513345048,0
List the director of The Adventures of mimi ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Adventurers_(1926_film)> <http://dbpedia.org/ontology/director> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Adventures_of_Mimi_(video)> <http://dbpedia.org/property/director> ?uri },0.513345048,0
In which city wasThe Triple Door (The Courage album)  performed live?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Doctor_Who_Confidential> <http://dbpedia.org/ontology/related> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Live_at_The_Triple_Door_(The_Courage_album)> <http://dbpedia.org/property/recorded> ?uri },0.513345048,0
Name  the Pole driver of 1994 Spanish Grand Prix ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Eugene_B._Fluckey> <http://dbpedia.org/ontology/award> ?uri },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/1994_Spanish_Grand_Prix> <http://dbpedia.org/property/poleDriver> ?uri },0.513345048,0
What type of engines are utilised by Purvis Eureka?,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Eureka,_Colorado> <http://dbpedia.org/ontology/type> ?uri }",SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Purvis_Eureka> <http://dbpedia.org/property/engine> ?uri },0.513345048,0
Where is the headquarters of Metro Transit (Minnesota) ?,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Minnesota> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Metro_Transit_(Minnesota)> <http://dbpedia.org/property/headquarters> ?uri },0.485491772,0
What is the venue of San Diego Comic-Con International ?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Venue> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/San_Diego_Comic-Con_International> <http://dbpedia.org/property/venue> ?uri },0.485491772,0
what cities are close by LoDaisKa ?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/City> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/LoDaisKa_Site> <http://dbpedia.org/ontology/nearestCity> ?uri },0.485491772,0
In which state is the Channel district?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Organisation> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Channel_District> <http://dbpedia.org/ontology/state> ?uri },0.485491772,0
Where can one find the Dzogchen Ponolop Rinpoche?,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Dzogchen> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Dzogchen_Ponlop_Rinpoche> <http://dbpedia.org/property/location> ?uri },0.485491772,0
What cities are nearer to Fuountain Lake Farm?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/City> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Fountain_Lake_Farm> <http://dbpedia.org/property/nearestCity> ?uri },0.485491772,0
Who are the characters of Batman Live?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/FictionalCharacter> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Batman_Live> <http://dbpedia.org/property/characters> ?uri },0.485491772,0
What is the faith of Kwai Chang Caine ?,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Kwai_Chung> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kwai_Chang_Caine> <http://dbpedia.org/ontology/religion> ?uri },0.485491772,0
Where was Sino-French War fought ?,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Sino-French_War> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sino-French_War> <http://dbpedia.org/ontology/territory> ?uri },0.485491772,0
Which companies were behind the renovation of McKechnie Field ?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Company> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/McKechnie_Field> <http://dbpedia.org/property/architect> ?uri },0.485491772,0
Who is the producer of  Frampton's Camel ?,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/producer> <http://dbpedia.org/resource/Povel_Ramel> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Frampton's_Camel> <http://dbpedia.org/property/producer> ?uri },0.485491772,0
To which country is Svetlana Navasardyan from?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Svetlana_Navasardyan> <http://dbpedia.org/property/origin> ?uri },0.485491772,0
Who is the owner of  Chelsea F.C. ?,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Chelsea_F.C.> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chelsea_F.C.> <http://dbpedia.org/property/owner> ?uri },0.485491772,0
Which are the countires where Pioneer Corporation has flourished?,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Pioneer_Corporation> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Pioneer_Corporation> <http://dbpedia.org/property/country> ?uri },0.485491772,0
Who founded the Not on our Watch NGO?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/FootballMatch> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Not_on_Our_Watch_(organization)> <http://dbpedia.org/ontology/foundedBy> ?uri },0.485491772,0
To which series does Lost special belong to ?,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Series> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Lost_Special> <http://dbpedia.org/property/series> ?uri },0.485491772,0
What is the citizenship of Saima Chowdhury?,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Citizenship> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Saima_Chowdhury> <http://dbpedia.org/ontology/citizenship> ?uri },0.485491772,0
Where was Al-Muzaffar Umar buried ?,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Umar> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Al-Muzaffar_Umar> <http://dbpedia.org/property/placeOfBurial> ?uri },0.485491772,0
Who are the animator of The Skeleton Dance?,SELECT DISTINCT ?uri WHERE { ?uri ?county_var <http://dbpedia.org/resource/Denmark> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Skeleton_Dance> <http://dbpedia.org/ontology/animator> ?uri },0.485491772,0
Where was Girls (The Prodigy song)  recorded ?,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:The_Prodigy> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Girls_(The_Prodigy_song)> <http://dbpedia.org/property/recorded> ?uri },0.485491772,0
List the  outflow of Lake Uniamsi?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Lake> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lake_Uniamési> <http://dbpedia.org/ontology/outflow> ?uri },0.485491772,0
Name the incumbent of Linda Jenness ?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Name> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Linda_Jenness> <http://dbpedia.org/ontology/incumbent> ?uri },0.485491772,0
Where is the headquarters of Sigma TV,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Headquarters> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sigma_TV> <http://dbpedia.org/property/headquarters> ?uri },0.485491772,0
Where does John A Danaher III work?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Work> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_A._Danaher_III> <http://dbpedia.org/property/office> ?uri },0.485491772,0
"Where was Live in Detroit, MI recorded ?",SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Work> },"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Live_in_Detroit,_MI> <http://dbpedia.org/ontology/recordedIn> ?uri }",0.485491772,0
list the founders of Bream Bay ?,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Founders> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bream_Bay> <http://dbpedia.org/property/founder> ?uri },0.485491772,0
Where is Denver Broncos located ?,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Denver_Broncos> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Denver_Broncos> <http://dbpedia.org/ontology/locationCity> ?uri },0.485491772,0
Who edited  British Gazette ?,SELECT DISTINCT ?uri WHERE { ?uri ?county_var <http://dbpedia.org/resource/United_Kingdom_of_Great_Britain_and_Ireland> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/British_Gazette> <http://dbpedia.org/property/editor> ?uri },0.485491772,0
Which driver had the pole position in 1994 Spanish Grand Prix ?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Bird> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/1994_Spanish_Grand_Prix> <http://dbpedia.org/ontology/poleDriver> ?uri },0.485491772,0
what is the headquarters of Juan Dalmau Ramerez?,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Headquarters> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Juan_Dalmau_Ramírez> <http://dbpedia.org/property/headquarters> ?uri },0.485491772,0
What are the binomial authority of Menetries's warbler?,SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Authority> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Menetries's_warbler> <http://dbpedia.org/ontology/binomialAuthority> ?uri },0.485491772,0
What is the location country of Teperberg 1870 ?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Place> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Teperberg_1870> <http://dbpedia.org/property/locationCountry> ?uri },0.485491772,0
Who edited Easy street ?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Road> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Easy_Street_(film)> <http://dbpedia.org/ontology/editing> ?uri },0.485491772,0
List the territory of Tonkin Campaign ?,SELECT DISTINCT ?uri WHERE { ?uri ?county_var <http://dbpedia.org/resource/Tonkin_(French_protectorate)> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Tonkin_Campaign> <http://dbpedia.org/ontology/territory> ?uri },0.485491772,0
For which teams did Ryan Powell play for?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Play> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ryan_Powell_(lacrosse)> <http://dbpedia.org/ontology/team> ?uri },0.485491772,0
From where does the river Upper Neretva start flowing?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/River> },SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Upper_Neretva> <http://dbpedia.org/ontology/riverMouth> ?uri },0.485491772,0
"By what style was Providence Chapel, Charlwood made?",SELECT DISTINCT ?uri WHERE { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Ontario> },"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Providence_Chapel,_Charlwood> <http://dbpedia.org/property/style> ?uri }",0.485491772,0
